12 = 2 |22 = 4 |32 = 6 |42 = 8 |52 = 10 |62 = 12 |72 = 14 |82 = 16 |92 = 18 |102 = 20 |
13 = 3 |23 = 6 |33 = 9 |43 = 12 |53 = 15 |63 = 18 |73 = 21 |83 = 24 |93 = 27 |103 = 30 |
14 = 4 |24 = 8 |34 = 12 |44 = 16 |54 = 20 |64 = 24 |74 = 28 |84 = 32 |94 = 36 |104 = 40 |
15 = 5 |25 = 10 |35 = 15 |45 = 20 |55 = 25 |65 = 30 |75 = 35 |85 = 40 |95 = 45 |105 = 50 |
16 = 6 |26 = 12 |36 = 18 |46 = 24 |56 = 30 |66 = 36 |76 = 42 |86 = 48 |96 = 54 |106 = 60 |
17 = 7 |27 = 14 |37 = 21 |47 = 28 |57 = 35 |67 = 42 |77 = 49 |87 = 56 |97 = 63 |107 = 70 |
18 = 8 |28 = 16 |38 = 24 |48 = 32 |58 = 40 |68 = 48 |78 = 56 |88 = 64 |98 = 72 |108 = 80 |
19 = 9 |29 = 18 |39 = 27 |49 = 36 |59 = 45 |69 = 54 |79 = 63 |89 = 72 |99 = 81 |109 = 90 |
110 = 10 |210 = 20 |310 = 30 |410 = 40 |510 = 50 |610 = 60 |710 = 70 |810 = 80 |910 = 90 |1010 = 100 |
111 = 11 |211 = 22 |311 = 33 |411 = 44 |511 = 55 |611 = 66 |711 = 77 |811 = 88 |911 = 99 |1011 = 110 |
112 = 12 |212 = 24 |312 = 36 |412 = 48 |512 = 60 |612 = 72 |712 = 84 |812 = 96 |912 = 108 |1012 = 120 |
113 = 13 |213 = 26 |313 = 39 |413 = 52 |513 = 65 |613 = 78 |713 = 91 |813 = 104 |913 = 117 |1013 = 130 |
114 = 14 |214 = 28 |314 = 42 |414 = 56 |514 = 70 |614 = 84 |714 = 98 |814 = 112 |914 = 126 |1014 = 140 |
115 = 15 |215 = 30 |315 = 45 |415 = 60 |515 = 75 |615 = 90 |715 = 105 |815 = 120 |915 = 135 |1015 = 150 |
116 = 16 |216 = 32 |316 = 48 |416 = 64 |516 = 80 |616 = 96 |716 = 112 |816 = 128 |916 = 144 |1016 = 160 |
117 = 17 |217 = 34 |317 = 51 |417 = 68 |517 = 85 |617 = 102 |717 = 119 |817 = 136 |917 = 153 |1017 = 170 |
118 = 18 |218 = 36 |318 = 54 |418 = 72 |518 = 90 |618 = 108 |718 = 126 |818 = 144 |918 = 162 |1018 = 180 |
119 = 19 |219 = 38 |319 = 57 |419 = 76 |519 = 95 |619 = 114 |719 = 133 |819 = 152 |919 = 171 |1019 = 190 |
120 = 20 |220 = 40 |320 = 60 |420 = 80 |520 = 100 |620 = 120 |720 = 140 |820 = 160 |920 = 180 |1020 = 200 |
121 = 21 |221 = 42 |321 = 63 |421 = 84 |521 = 105 |621 = 126 |721 = 147 |821 = 168 |921 = 189 |1021 = 210 |
122 = 22 |222 = 44 |322 = 66 |422 = 88 |522 = 110 |622 = 132 |722 = 154 |822 = 176 |922 = 198 |1022 = 220 |
123 = 23 |223 = 46 |323 = 69 |423 = 92 |523 = 115 |623 = 138 |723 = 161 |823 = 184 |923 = 207 |1023 = 230 |
124 = 24 |224 = 48 |324 = 72 |424 = 96 |524 = 120 |624 = 144 |724 = 168 |824 = 192 |924 = 216 |1024 = 240 |
125 = 25 |225 = 50 |325 = 75 |425 = 100 |525 = 125 |625 = 150 |725 = 175 |825 = 200 |925 = 225 |1025 = 250 |
126 = 26 |226 = 52 |326 = 78 |426 = 104 |526 = 130 |626 = 156 |726 = 182 |826 = 208 |926 = 234 |1026 = 260 |
127 = 27 |227 = 54 |327 = 81 |427 = 108 |527 = 135 |627 = 162 |727 = 189 |827 = 216 |927 = 243 |1027 = 270 |
128 = 28 |228 = 56 |328 = 84 |428 = 112 |528 = 140 |628 = 168 |728 = 196 |828 = 224 |928 = 252 |1028 = 280 |
129 = 29 |229 = 58 |329 = 87 |429 = 116 |529 = 145 |629 = 174 |729 = 203 |829 = 232 |929 = 261 |1029 = 290 |
130 = 30 |230 = 60 |330 = 90 |430 = 120 |530 = 150 |630 = 180 |730 = 210 |830 = 240 |930 = 270 |1030 = 300 |
